text,intent
Do you have a limit for someone's age?,age_limit
Can I open an account for my offspring?,age_limit
I want to open an account for my children,age_limit
Can my children have an account?,age_limit
Is my daughter eligible to open an account?,age_limit
What is minimum age for an account?,age_limit
Am I able to open an account for my children?,age_limit
Whats the minimum age to have an account,age_limit
How old do you need to be to use the banks services?,age_limit
What about my children?,age_limit
What are age requirements for opening an account?,age_limit
What is your age limit?,age_limit
Is there any age limit?,age_limit
How many years old do I have to be?,age_limit
Is there a possibility to open an account for my sons and daughters?,age_limit
How old do my kids need to be to open an account?,age_limit
Is there a certain age I need to be?,age_limit
Hold old do my kids have to be to use the service?,age_limit
I'd like to open an account for my kids can I do that?,age_limit
Do you offer account's for minors?,age_limit
What are the requirements to open an account for a minor?,age_limit
What is the age limit for an account?,age_limit
How old do my kids need to be to use your service?,age_limit
Can my children open an account?,age_limit
"I need to set up an account for my daughter, how would I do that?",age_limit
What is the minimum age limit?,age_limit
Am I allowed to get an account for my daughter?,age_limit
I'd like to open an account for my children. How can I do that?,age_limit
How old do you need to be to have an account?,age_limit
Would I be able to get an account for my child?,age_limit
I have young kids. Can they use this service?,age_limit
How old does my daughter need to be to have her own account?,age_limit
Can my children get an account?,age_limit
As my kids get older are they able to get set up with their own accounts?,age_limit
Can my teenager have an account?,age_limit
What age do you have to be to open an account?,age_limit
Is there an age limit for opening an account?,age_limit
Do you have an age requirement when opening an account with your service?,age_limit
How old do I need to be?,age_limit
Is there an age limit to get an account?,age_limit
Is it possible to use my apple watch for topping up?,apple_pay_or_google_pay
My google top-up pay is not going through,apple_pay_or_google_pay
My Google pay top up isn't working.,apple_pay_or_google_pay
"I got my American Express in Apple Pay, why is top up not working in my country?",apple_pay_or_google_pay
I can't get google pay to work right.,apple_pay_or_google_pay
What should I do to top up using my Apple Watch?,apple_pay_or_google_pay
What are the steps needed to top up with Apple Pay?,apple_pay_or_google_pay
Can I top up using my apple watch?,apple_pay_or_google_pay
I would like to know if I can top up with Google Pay.,apple_pay_or_google_pay
Why isn't my Google Pay top up working for me? Did I do something wrong?,apple_pay_or_google_pay
Why doesn't my Google pay top up work?,apple_pay_or_google_pay
Can I use my Apple Watch to pay for gas?,apple_pay_or_google_pay
What services can I use to top up?,apple_pay_or_google_pay
"I received my American Express in Apple Pay, is there a reason why top up is not functioning properly?",apple_pay_or_google_pay
Can I top up with Google Pay?,apple_pay_or_google_pay
Can I use American express with apple pay? Why does it make my top up not work?,apple_pay_or_google_pay
How do I top up using my Apple Watch?,apple_pay_or_google_pay
"Can you please assist me in Apple Pay, in getting Top Up to work?",apple_pay_or_google_pay
Can I use google pay to top up?,apple_pay_or_google_pay
Can I use top-up with Apple pay?,apple_pay_or_google_pay
Can I top-up my google pay?,apple_pay_or_google_pay
I can't use top up on Google Pay.,apple_pay_or_google_pay
I want to top up my account. Can I do it with Google Pay?,apple_pay_or_google_pay
Can I pay for my gas using my Apple watch?,apple_pay_or_google_pay
I'm trying to use my Apple Watch to top up my google pay. Do I need a special app?,apple_pay_or_google_pay
Why isn't my google pay top up working?,apple_pay_or_google_pay
What do I do if my Google pay top up isn't working?,apple_pay_or_google_pay
Can I use my Apple watch to fill my gas tank?,apple_pay_or_google_pay
My Apple Pay top up with my American Express card is not working? Please tell me why,apple_pay_or_google_pay
I cannot get my google pay to work.,apple_pay_or_google_pay
Can you help me get Top Up to work in the Apple Pay function?,apple_pay_or_google_pay
I can't get my Google Pay Top to work. Are there any issues on your end?,apple_pay_or_google_pay
I can't see my Google Pay top up. Is it not working correctly?,apple_pay_or_google_pay
"Hi, I have an apple watch. How do I use it to top up my card?",apple_pay_or_google_pay
Can I use google pay for topping -up,apple_pay_or_google_pay
Can I use my apple watch to top-up?,apple_pay_or_google_pay
Can I use my American Express card with Apple Pay?,apple_pay_or_google_pay
Google Pay Top up isn't working,apple_pay_or_google_pay
Is there a way to top up using my Apple Watch?,apple_pay_or_google_pay
Does Google Pay offer a top up option?,apple_pay_or_google_pay
why top up is not working even if I got my American Express in Apple Bay?,apple_pay_or_google_pay
Can I top up my account with Google Pay?,apple_pay_or_google_pay
Could google pay and top up be together?,apple_pay_or_google_pay
I do I top up from my Apple Watch?,apple_pay_or_google_pay
"I need to top up, can I use google pay?",apple_pay_or_google_pay
Unable to use my American Express with Apple Pay to top up my account,apple_pay_or_google_pay
Google pay top up not working.,apple_pay_or_google_pay
How do i top up my google pay?,apple_pay_or_google_pay
google pay top up did not work,apple_pay_or_google_pay
Am I able to use Apple Pay?,apple_pay_or_google_pay
Can I add funds directly from my Apple Watch?,apple_pay_or_google_pay
"My American express works with my apple pay, why is top up not working?",apple_pay_or_google_pay
Am I able to top up with Apple Pay?,apple_pay_or_google_pay
I want to top up with my Apple Watch.,apple_pay_or_google_pay
Can I deposit money using Apple Pay?,apple_pay_or_google_pay
is it possible to top-up with google pay.,apple_pay_or_google_pay
Are top-ups allowed using Apple Pay?,apple_pay_or_google_pay
Can you assist on apple watch top ups?,apple_pay_or_google_pay
Is it possible for me to top up with Google Pay?,apple_pay_or_google_pay
is there a way to do top up with apple pay,apple_pay_or_google_pay
Does my top up and apple pay work together?,apple_pay_or_google_pay
my google pay seems to be acting up.,apple_pay_or_google_pay
top up for my american express card is not working,apple_pay_or_google_pay
Can you tell me where I can withdraw money?,atm_support
How do I withdraw money?,atm_support
I can use this card at which ATMs?,atm_support
What kind of ATMs would this card be accepted at?,atm_support
What locations allow me to withdraw money?,atm_support
What's the closest place to withdraw money?,atm_support
Can I get money out of any machine?,atm_support
Where is a ATM that accepts Mastercard?,atm_support
Please provide me a list of ATMs that accept my card.,atm_support
What locations can I get money from?,atm_support
What ATM accepts Mastercard?,atm_support
Am I limited to what ATM I can use my card?,atm_support
What ATM locations are near me?,atm_support
Where can I withdraw money from?,atm_support
Which ATMs accept Mastercard?,atm_support
Will this card work at any ATM?,atm_support
What ATMs can I use my card?,atm_support
Where should I withdraw money from?,atm_support
Is there a list of ATMs that take this card?,atm_support
Are there specific ATM's that I can draw money from?,atm_support
Are there any ATM's near me that accept this card?,atm_support
Is the closest ATM to me within 2 miles?,atm_support
What ATMs take this card?,atm_support
I need to withdraw money. Where can I do that?,atm_support
Is this card accepted by ATMs?,atm_support
"
Where can I withdraw money from?",atm_support
Which ATMs take the card?,atm_support
What cash stations take this card?,atm_support
Where is the closest ATM to me?,atm_support
What ATMs can I use this card at?,atm_support
Where can I get money from my card?,atm_support
How far is the closest ATM from me?,atm_support
Where can I do a cash withdrawal?,atm_support
Which locations can I withdraw money from?,atm_support
How do I know it is a Mastercard ATM?,atm_support
"
At which ATMs can I use this card?",atm_support
Which ATM's can I use to make a withdrawal?,atm_support
Where can money withdrawals be made?,atm_support
What ATMs can I use my card at?,atm_support
Where can I find an ATM?,atm_support
Do I have to use bank approved ATM's,atm_support
Where is the nearest Mastercard ATM?,atm_support
Can I use my card at an ATM?,atm_support
How can I find an ATM that accepts this card?,atm_support
Where can I find the auto-top option?,automatic_top_up
I will be traveling and want money to be added automatically in certain intervals. Is this possible?,automatic_top_up
What are the auto-top up policies?,automatic_top_up
Can I add money to my card automatically during a trip?,automatic_top_up
Do you offer auto top ups?,automatic_top_up
"If my account is low in funds, can I set an auto top-up?",automatic_top_up
Can I use an auto top-up option?,automatic_top_up
Can I schedule future top ups?,automatic_top_up
I want to set up an auto top-up,automatic_top_up
"What, if any, is the limit  for auto top-up?",automatic_top_up
Can I set up to my account to automatically top up?,automatic_top_up
How can I add money automatically?,automatic_top_up
What are the auto top-up policies?,automatic_top_up
Where do I find the auto top- up?,automatic_top_up
Do I need to set a limit on auto top-up?,automatic_top_up
What's the limit for auto top-up?,automatic_top_up
How can I Use thereto-top option?,automatic_top_up
Is there a limit to auto top?,automatic_top_up
i need help finding the auto top up option.,automatic_top_up
Are there any limit on the auto top-up?,automatic_top_up
I'm trying to activate the auto-top up function. Where is it?,automatic_top_up
Is there a way to top-up when it reaches a certain balance?,automatic_top_up
when i travel can it top up automatically,automatic_top_up
"My funds are low, can I auto top up?",automatic_top_up
auto-top up option can be found where?,automatic_top_up
Are there any hidden limit on the auto top-up?,automatic_top_up
"If there isn't much money left over, will it top-up automatically?",automatic_top_up
How many times can I auto top-up?,automatic_top_up
Do you have an auto-top function and how do I use it if so?,automatic_top_up
How do i access the auto top-up option?,automatic_top_up
Do you have an option for auto top up?,automatic_top_up
"If my funds are running low, will the app top up automatically?",automatic_top_up
Where do I access the auto top-up function?,automatic_top_up
Can I add money automatically to my account while traveling?,automatic_top_up
Does the auto top-up have any limits?,automatic_top_up
How low does the balance have to be before the system updates?,automatic_top_up
How do I access the option to top up?,automatic_top_up
Can I auto top up multiple times?,automatic_top_up
Where can I find the auto-top up feature?,automatic_top_up
Does auto top-up have a limit?,automatic_top_up
What are the maximum amount you can do for auto top-up?,automatic_top_up
How do I top-up automatically?,automatic_top_up
When I'm traveling is it possible to add money automatically at certain time points?,automatic_top_up
When do i activate auto top-up?,automatic_top_up
Can I have money transferred into my account at different intervals along my trip?,automatic_top_up
Can I automatically top-up when traveling?,automatic_top_up
how can i get it to add money automatically while travelling,automatic_top_up
Is auto top up available?,automatic_top_up
Is there an automatic top up feature?,automatic_top_up
can you top up your account automatically,automatic_top_up
Is an auto top-up option available?,automatic_top_up
I would like to top up my account automatically. How do I do that?,automatic_top_up
Can i set up an auto top-up?,automatic_top_up
I want to auto top-up.,automatic_top_up
I can't find the auto-top up option.,automatic_top_up
Where do I find the auto top up option?,automatic_top_up
How do I get refills to my card when I'm traveling?,automatic_top_up
Can I get an auto Top-up?,automatic_top_up
"I am traveling, what can I do to set up auto top-up?",automatic_top_up
How can I setup automatic top-up?,automatic_top_up
What is the maximum for auto top-up?,automatic_top_up
Is there a way to set up an auto top-up?,automatic_top_up
Can it automatically top up my account?,automatic_top_up
Does the app top up automatically?,automatic_top_up
Can you please check my UK Account to make sure everything went alright?  I made the transfer a couple of hours ago.,balance_not_updated_after_bank_transfer
Why hasn't the money I transferred into my account shown up yet?,balance_not_updated_after_bank_transfer
How long does a transfer from the United Kingdom take? I haven't seen it show up yet in my bank account and want to make sure I get the transfer.,balance_not_updated_after_bank_transfer
Do international transfers take longer?? I made a transfer from France 2 days ago but it's still not there yet...,balance_not_updated_after_bank_transfer
When will the money from my bank transfer be available?,balance_not_updated_after_bank_transfer
Why is it taking so long to update my balance transfer?,balance_not_updated_after_bank_transfer
I had transferred some money but the balance hasn't changed.,balance_not_updated_after_bank_transfer
Balance hasn't been updated following a bank transfer,balance_not_updated_after_bank_transfer
Why isn't the transfer to my account showing up?,balance_not_updated_after_bank_transfer
how do i see what i transferred,balance_not_updated_after_bank_transfer
Tell me why my balance did not change when I tranferred cash.,balance_not_updated_after_bank_transfer
I made a transfer from France a couple days ago and don't see the transaction yet. How long does an international transfer take?,balance_not_updated_after_bank_transfer
The balance does not appear to have updated.,balance_not_updated_after_bank_transfer
I have transferred some money but the balance hasn't changed,balance_not_updated_after_bank_transfer
What is the time frame that transfers normally take from a UK account? I just completed a transfer and nothing shows up. I need to know if everything is alright.,balance_not_updated_after_bank_transfer
I transfered my balance a while back.  Why doesn't my account reflect this?,balance_not_updated_after_bank_transfer
I did a bank transfer and my balance isn't current.,balance_not_updated_after_bank_transfer
My balance was not updated after transferring money.,balance_not_updated_after_bank_transfer
Balance is not up to date.,balance_not_updated_after_bank_transfer
How long does it take for money to transfer as my balance hasn't been updated,balance_not_updated_after_bank_transfer
"Hi. About two hours ago I made a transfer from my bank which is in the UK, but I don't see it yet! Would you check what's going on with it, please?",balance_not_updated_after_bank_transfer
Why is my transfer not showing,balance_not_updated_after_bank_transfer
"How long do transfers to international banks take? I made one to france a couple of days ago, but it's still not there.",balance_not_updated_after_bank_transfer
I haven't yet received money that I transferred,balance_not_updated_after_bank_transfer
How long do I have to wait until the transferred money shows up?,balance_not_updated_after_bank_transfer
The transfer on my account is not showing up.,balance_not_updated_after_bank_transfer
I transferred some funds but I don't see it,balance_not_updated_after_bank_transfer
Why isn't my balance reflecting a transfer I did?,balance_not_updated_after_bank_transfer
Where is the transfer to my account that I made?,balance_not_updated_after_bank_transfer
I just made a transfer from a UK account. How long does that typically take to show up? I just want to make sure it worked alright.,balance_not_updated_after_bank_transfer
My transfer to my account is missing.,balance_not_updated_after_bank_transfer
Why wasn't my bank balance updated?,balance_not_updated_after_bank_transfer
Where is the money that I transferred.,balance_not_updated_after_bank_transfer
How long does it typically take to make a transfer from a UK bank? I just made one and it hasn't shown up in my account yet.,balance_not_updated_after_bank_transfer
help my money isnt showing up,balance_not_updated_after_bank_transfer
Hello. Can you help figure out why the recent transfer from my UK bank account isn't showing up?,balance_not_updated_after_bank_transfer
what amount of time does it take for a transfer to reflect and be available,balance_not_updated_after_bank_transfer
"I recently transferred some cash, but the balance has not changed.",balance_not_updated_after_bank_transfer
When does a UK transfer show up?,balance_not_updated_after_bank_transfer
I'm wondering how long it takes for my money to get to me after a bank transfer.,balance_not_updated_after_bank_transfer
I made a transfer from France two days ago now but there hasn't made it there yet. Do international transfers take longer?,balance_not_updated_after_bank_transfer
A few hours ago I made a bank transfer from my UK account but I don't see that it has arrived.   Can you check and see if all is ok please?,balance_not_updated_after_bank_transfer
"Hello, can you please inform me about international transfers? I am expecting a transfer I made from France two days ago and would like to know when it will arrive.",balance_not_updated_after_bank_transfer
I transferred some money but the balance stayed the same.,balance_not_updated_after_bank_transfer
I was wondering if international transfers take longer than normal because I made a transfer from France a couple of days ago and nothing has happened yet?,balance_not_updated_after_bank_transfer
"When is my balance going to update, I just transferred some money",balance_not_updated_after_bank_transfer
when will the balance on my account change form a transfer,balance_not_updated_after_bank_transfer
When will I see an updated balance after a transfer?,balance_not_updated_after_bank_transfer
The balance has not been updated.,balance_not_updated_after_bank_transfer
The funds I transferred are not in my account,balance_not_updated_after_bank_transfer
How long will it take for a bank transfer to show up on my account? It's been a couple hours but I havnt seen anything yet. Also it's from a UK account if that makes any difference.,balance_not_updated_after_bank_transfer
My latest transfer seems to be missing.,balance_not_updated_after_bank_transfer
Help me find the transfer that I did.,balance_not_updated_after_bank_transfer
Where is the transfer that I did?,balance_not_updated_after_bank_transfer
What happened to the transfer I did?,balance_not_updated_after_bank_transfer
"About two days ago now, I made a transfer from France but it hasn't arrived yet. Is it possible that the international transfer just takes longer?",balance_not_updated_after_bank_transfer
I transferred money to my account but it is not showing.,balance_not_updated_after_bank_transfer
I just made a transfer from France 2 days ago. It has not yet reached my bank. Is it possible it takes longer because it was an international transfer?,balance_not_updated_after_bank_transfer
Why hasn't my account updated to reflect my current balance?,balance_not_updated_after_bank_transfer
How long do I have to wait for my bank transfer to appear in my account?,balance_not_updated_after_bank_transfer
I transferred money but the balance did not update.,balance_not_updated_after_bank_transfer
I can't see a transfer to my account I made.,balance_not_updated_after_bank_transfer
"Hi, I made a transfer from France two days ago and thought it would be here by now. Can you give me an update please?",balance_not_updated_after_bank_transfer
How long does it take for money to transfer?,balance_not_updated_after_bank_transfer
when does my balance update for a transfer,balance_not_updated_after_bank_transfer
"Transferred to account is not successful, help please?",balance_not_updated_after_bank_transfer
I made a transfer a couple hours ago but my balance has not been updated. Why is this? Shouldnt this be instant?,balance_not_updated_after_bank_transfer
How can I fix my bank transfer to show up on my bank account?,balance_not_updated_after_bank_transfer
I don't see any change in my balance.,balance_not_updated_after_bank_transfer
"How long do transfers from a UK bank account usually take for you? I just made a transfer and I'm not seeing anything, wondering if it worked",balance_not_updated_after_bank_transfer
I am still waiting for a transfer I did,balance_not_updated_after_bank_transfer
I made a bank transfer but it doesn't seem to have gone through?,balance_not_updated_after_bank_transfer
I want to be sure that everything is okay here. I just made a transfer from a UK account and it is still not showing up. How long does this typically take?,balance_not_updated_after_bank_transfer
"Is something wrong with my account, my balance didn't change after I transferred some money",balance_not_updated_after_bank_transfer
Good afternoon. I made a transfer from my UK bank account.  I haven't seen anything on the account in the pass few hours. Please check the account to make sure everything is fine.,balance_not_updated_after_bank_transfer
"I just transferred some money into my account and do not see it updated yet, can you assist?",balance_not_updated_after_bank_transfer
How long does a transfer from the UK account usually take? After completing the transfer it is not showing up. I need to know that everything I actually went okay.,balance_not_updated_after_bank_transfer
I added money through a bank transfer and it is not showing in my balance.,balance_not_updated_after_bank_transfer
After I transferred money the balance remained the same.,balance_not_updated_after_bank_transfer
Why isn't the transferred money there?,balance_not_updated_after_bank_transfer
There is a missing transfer on my account,balance_not_updated_after_bank_transfer
How long do bank transfers usually take?,balance_not_updated_after_bank_transfer
"How long does an international transfer take? I made the transfer from France 2 days ago, but it is not showing up in my bank yet.",balance_not_updated_after_bank_transfer
My balance didn't change after I transferred some money.,balance_not_updated_after_bank_transfer
"Hi, I am unable to see transaction in my account which i made couples of hours ago from my UK account. Please help me in this.",balance_not_updated_after_bank_transfer
Can you check if my money has reached my account since it is not showing up yet?,balance_not_updated_after_bank_transfer
What's going on with my balance? Shouldn't it be a bit higher since I deposited a cheque a day ago?,balance_not_updated_after_cheque_or_cash_deposit
cash and check deposit has not gone thru,balance_not_updated_after_cheque_or_cash_deposit
"I deposited a cheque, but my account balance stayed the same.",balance_not_updated_after_cheque_or_cash_deposit
My account balance doesn't reflect an update I made by cheque yesterday. Is something wrong or is the system slow?,balance_not_updated_after_cheque_or_cash_deposit
I deposited cash into my account and I'm having trouble seeing it on my account.,balance_not_updated_after_cheque_or_cash_deposit
When will my deposit post to my account?,balance_not_updated_after_cheque_or_cash_deposit
I put money in my account a week ago but its still not there?? What happened to my money?,balance_not_updated_after_cheque_or_cash_deposit
The check I deposited yesterday isn't listed yet.  Isn't that pretty slow?  I need to see the balance increased by that check.,balance_not_updated_after_cheque_or_cash_deposit
Is there an issue with my account?  I don't see a cheque deposit that I made yesterday.  Please assist.,balance_not_updated_after_cheque_or_cash_deposit
"I did a cash deposit to my account, but I am not seeing it on my statement.",balance_not_updated_after_cheque_or_cash_deposit
When will my cheque process?,balance_not_updated_after_cheque_or_cash_deposit
I made a cash deposit to my account but i don't see it,balance_not_updated_after_cheque_or_cash_deposit
The balance hasn't changed yet after depositing a cheque with some money.,balance_not_updated_after_cheque_or_cash_deposit
"My friend deposited $100 into my account, but it is not showing up!",balance_not_updated_after_cheque_or_cash_deposit
I sent a cheque a few days ago and i noticed that no money has been put on my account. Can you please tell me the situation of my account?,balance_not_updated_after_cheque_or_cash_deposit
I have yet to receive the cash I added to my account this morning.,balance_not_updated_after_cheque_or_cash_deposit
Where is my missing cheque I deposited?,balance_not_updated_after_cheque_or_cash_deposit
I deposited a cheque a week ago but have yet to receive the cash.,balance_not_updated_after_cheque_or_cash_deposit
My cheque is slow to cash,balance_not_updated_after_cheque_or_cash_deposit
When will my cheque be processed?,balance_not_updated_after_cheque_or_cash_deposit
"I deposited a cheque, why isn't my balance showing that I did?",balance_not_updated_after_cheque_or_cash_deposit
When will my deposit from this morning show up?,balance_not_updated_after_cheque_or_cash_deposit
I deposited a check a few days ago and it's still not gone in! Please help me with this,balance_not_updated_after_cheque_or_cash_deposit
What is going on? My balance still hasn't updated and it has been two weeks since I deposited my money!,balance_not_updated_after_cheque_or_cash_deposit
I tried updating my balance by cheque yesterday but it doesn't seem to be working. Shouldn't that be faster? Please check my account something has gone wrong there.,balance_not_updated_after_cheque_or_cash_deposit
Cash has been deposited this morning but it hasn't came through.,balance_not_updated_after_cheque_or_cash_deposit
I checked the app and my balance has not been updated for the cash or cheque deposit.,balance_not_updated_after_cheque_or_cash_deposit
I am still waiting for a the cash I deposited this morning,balance_not_updated_after_cheque_or_cash_deposit
i used a check check yesterday to balance my account and it isn't showing up?,balance_not_updated_after_cheque_or_cash_deposit
"I wrote a check to the account yesterday to add to my balance, but I don't see the amount of the check reflected anywhere.  Is it being held up for some reason?  I should have seen a new balance by now!",balance_not_updated_after_cheque_or_cash_deposit
My balance doesn't show my deposit.,balance_not_updated_after_cheque_or_cash_deposit
"I deposited cash this morning, but it's not showing up in my account. Can you tell me where's my money?",balance_not_updated_after_cheque_or_cash_deposit
My cheque deposit didn't seem to work.,balance_not_updated_after_cheque_or_cash_deposit
I recently deposited a cheque and cannot find the cash from it.,balance_not_updated_after_cheque_or_cash_deposit
I have made a recent check and cash deposit that isn't reflected in my balance.,balance_not_updated_after_cheque_or_cash_deposit
Why is my deposit still pending?,balance_not_updated_after_cheque_or_cash_deposit
My cash deposit from a week ago is still not in my account. Can you help me please?,balance_not_updated_after_cheque_or_cash_deposit
Why is the cash not showing in my account for the check I deposited?,balance_not_updated_after_cheque_or_cash_deposit
I need my account checked because it appears there is a problem. I attempted to update my balance yesterday using cheque but it doesn't seem to have worked.  Should this not be faster than this?,balance_not_updated_after_cheque_or_cash_deposit
The cheque I deposited isn't showing in my account,balance_not_updated_after_cheque_or_cash_deposit
I've already sent the money out and still have not received money in my account.,balance_not_updated_after_cheque_or_cash_deposit
I've deposited a check in my account but the cash isn't showing as available.,balance_not_updated_after_cheque_or_cash_deposit
What is going on with my cash deposit. I'm looking at my account balance and it is not there. It has been almost a week. Someone better get back to me asap.,balance_not_updated_after_cheque_or_cash_deposit
Why isn't my cash deposit showing up in my account?,balance_not_updated_after_cheque_or_cash_deposit
I deposited money but my balance hasn't been updated yet.,balance_not_updated_after_cheque_or_cash_deposit
I've deposited a check but the cash isn't showing that it's there yet.,balance_not_updated_after_cheque_or_cash_deposit
How long does it take to show a deposit I made to my balance?,balance_not_updated_after_cheque_or_cash_deposit
I did a cash deposit to my account but it doesn't show up,balance_not_updated_after_cheque_or_cash_deposit
my check or cash deposit has not shown up,balance_not_updated_after_cheque_or_cash_deposit
Why hasn't my cash been deposited yet?,balance_not_updated_after_cheque_or_cash_deposit
The cheque I sent to you to have deposited a couple days ago has not cleared in my account yet. What is the issue?,balance_not_updated_after_cheque_or_cash_deposit
When will my deposit be processed?,balance_not_updated_after_cheque_or_cash_deposit
"Even though I made a cash deposit, I am not seeing it in my account.",balance_not_updated_after_cheque_or_cash_deposit
After trying to update my account balance yesterday by cheque it doesn't seem to working. Shouldn't the process be quicker? I need my account looked at because there appears to be a problem.,balance_not_updated_after_cheque_or_cash_deposit
Why is my last cheque deposit taking so long?,balance_not_updated_after_cheque_or_cash_deposit
"I tried using a check to update my balance, but it isn't work? Is something wrong?",balance_not_updated_after_cheque_or_cash_deposit
My balance was not updated with my checque or cash deposit.,balance_not_updated_after_cheque_or_cash_deposit
where is my money from this morning,balance_not_updated_after_cheque_or_cash_deposit
Dude I put money in the ATM last week but it ain't there! I need the money now figure this out!,balance_not_updated_after_cheque_or_cash_deposit
"I put money in my account a week ago but its still not there, what is happening?",balance_not_updated_after_cheque_or_cash_deposit
"I deposited a cheque with some money, but the balance hasn't changed.",balance_not_updated_after_cheque_or_cash_deposit
Last week I put a cash deposit into my account and it is still isn't there.,balance_not_updated_after_cheque_or_cash_deposit
Why haven't I seen the cash from the cheque I deposited yet?,balance_not_updated_after_cheque_or_cash_deposit
"I recently deposited some money into my account, but it still isn't showing up. What's going on?",balance_not_updated_after_cheque_or_cash_deposit
Why hasn't my balance been updated? I've deposited a few cheques some days ago!,balance_not_updated_after_cheque_or_cash_deposit
Why is the check I deposited this morning not showing up?,balance_not_updated_after_cheque_or_cash_deposit
"I deposited a check yesterday and Im not seeing it in my account. i need the money, is there something wrong with my account? check it out please",balance_not_updated_after_cheque_or_cash_deposit
How long will it take for the cash I deposited this morning to show up?,balance_not_updated_after_cheque_or_cash_deposit
"I had a cheque deposited, but I don't see my money yet?",balance_not_updated_after_cheque_or_cash_deposit
"I made a deposit a couple of days back it's, as of yet, not gone in! It would be ideal if you assist me with this",balance_not_updated_after_cheque_or_cash_deposit
Why isn't my cheque deposit showing on my account?  I though it would be faster and would like to to look into it and help.,balance_not_updated_after_cheque_or_cash_deposit
I am still currently waiting for the cash that has been deposited into the account this morning.,balance_not_updated_after_cheque_or_cash_deposit
What happened to my cash deposit?,balance_not_updated_after_cheque_or_cash_deposit
